企业名称,综合得分,企查查链接,注册地址,主营业务,注册资本,参保人数,联系方式,行业分类,登记状态,评分理由,排名
上海伯一贸易有限公司,100,https://www.qcc.com/firm/8e92a0c77cb76931285f28f0c81ff552.html?source=export&from=ddexport,上海市普陀区柳园路556号5幢212室,通信,100万元,-,18221708915,IT/互联网,注销（2019-05-10）,普陀区 | 小型 | 行业:IT/互联网 | 手机 | 固话,11
上海德兆置业有限公司,100,https://www.qcc.com/firm/3341f7462b9e69076fbb4805fd160f3f.html?source=export&from=ddexport,上海市普陀区柳园路556号5幢一层2124室,房地产开发,100万元,0,18916456557;13389891818;18516202286,其他,存续,普陀区 | 小型 | 行业:其他 | 手机 | 固话 | 正常,12
上海无界线网球俱乐部有限公司,100,https://www.qcc.com/firm/6e61643164628b5a3a265279a1a9ef0d.html?source=export&from=ddexport,上海市宝山区真陈路1000号1幢418-A、B、C、D、E、F、G、H、K、N、Z室,体育,50万元,0,16621199376,体育/文化,存续,极近 | 小型 | 行业:体育/文化 | 手机 | 正常,13
上海大力金阳实业有限公司,100,https://www.qcc.com/firm/14a85197de38171835ab0fa02ae2a23a.html?source=export&from=ddexport,上海市宝山区真陈路1000号1幢6楼,住宿和餐饮业,10万元,0,18721560611,其他,注销（2024-09-05）,极近 | 微型 | 行业:其他 | 手机 | 固话,14
上海卿菲贸易有限公司,100,https://www.qcc.com/firm/ef62b9194001079683fd99088b63ed25.html?source=export&from=ddexport,上海市宝山区真陈路1000号1幢6楼,商品批发,300万元,0,13681934199,其他,存续,极近 | 中型 | 行业:其他 | 手机 | 正常,15
上海奔泽生物科技有限公司,100,https://www.qcc.com/firm/4ad71acce15116f683ceb8df7f5b3a18.html?source=export&from=ddexport,上海市宝山区园新路258弄4号11层1105室,商品批发,500万元,13,021-61486789,其他,存续,宝山区 | 大型(13人/500万) | 行业:其他 | 固话 | 正常,16
上海胜易教育科技有限公司,100,https://www.qcc.com/firm/ef601e8f918e2db730e252df80a0712f.html?source=export&from=ddexport,上海市宝山区真陈路1000号1幢6楼,商品批发,10万元,0,15900611417,其他,存续,极近 | 微型 | 行业:其他 | 手机 | 正常,17
上海新府工贸有限公司,100,https://www.qcc.com/firm/6c0179db06c81762f5d8997fea90ba4e.html?source=export&from=ddexport,上海市普陀区柳园路89弄18号B座106室,家具家居制造,360万元,36,13817569655,制造业,存续,普陀区 | 中型 | 行业:制造业 | 手机 | 固话 | 正常,18
壹闲（上海）贸易有限公司,100,https://www.qcc.com/firm/e5cf298c2e0a2242cbbeb8e518349227.html?source=export&from=ddexport,上海市宝山区真陈路1000号1幢5楼（A座1-2000号、B座1-2000号）,商品批发,2万元,2,13817636287;13524446254,其他,存续,极近 | 微型 | 行业:其他 | 手机 | 正常,19
上海起星文化传媒有限公司,100,https://www.qcc.com/firm/da80143a4ee331990c2c779fd1fc9f2b.html?source=export&from=ddexport,上海市普陀区红柳路255号6幢B区二层209-P室,其他文化传媒,100万元,0,13816792179,体育/文化,注销（2025-03-28）,普陀区 | 小型 | 行业:体育/文化 | 手机,20
